"","X","State","ID","Material","Taxa","Type","County","Measured","Mea_SE","Norm","Norm_SE","X13C","SiteID","SiteName","Lat","Long","Strat","Context","AMS_Radio","Comment","Reference","Region","Date","Error","Site_Name"
"12",39022,"Arizona","Beta-95282","SEEDS","yucca seeds, charred","ARCHAEOLOGICAL","Canyon De Chelly",NA,NA,1810,60,-13.1,"E:","Tseahatso",36.5,-109.5,NA,"6 yucca seed beads from Chief's Grave; UCM-2409",NA,NA,"Smiley and Robins 1997:Table A.1","Plateau",1810,60,"Tseahatso"
"13",39023,"Arizona","Beta-95283","CHARCOAL","yucca","ARCHAEOLOGICAL","Canyon De Chelly",NA,NA,1770,50,-11.8,"E:","Pictograph Cave",36.5,-109.5,NA,"loosely z-twisted fiber from end of tupline attached to large burden basket; UCM-2558",NA,NA,"Smiley and Robins 1997:Table A.1","Plateau",1770,50,"Pictograph Cave"
"14",39031,"Arizona","C-103","WOOD",NA,"ARCHAEOLOGICAL",NA,1070,100,NA,NA,NA,"E:8:1 (ASM)","Broken Flute Cave",36.5,-109.5,NA,NA,"RADIOMETRIC",NA,"Berry 1982","Plateau",1070,100,"Broken Flute Cave"
"15",39124,"Arizona","OxA-21234","SEEDS","Zea mays","ARCHAEOLOGICAL",NA,NA,NA,733,23,-9.8,NA,"Turkey House Ruin",36.5,-109.5,NA,NA,"AMS","appears in Text as 723 +/- 33; this date taken from Table S1, and Figure S2","Fordyce et al. 2013- Deep Sequencing of RNA from Ancient Maize Kernels","Plateau",733,23,"Turkey House Ruin"
"16",39125,"Arizona","OxA-21235","SEEDS","Zea mays","ARCHAEOLOGICAL",NA,NA,NA,707,23,-8.5,NA,"Turkey House Ruin",36.5,-109.5,NA,NA,"AMS",NA,"Fordyce et al. 2013- Deep Sequencing of RNA from Ancient Maize Kernels","Plateau",707,23,"Turkey House Ruin"
"17",39332,"New Mexico","DIC-2631","CHARCOAL","juniperus post","ARCHAEOLOGICAL","San Juan",70,70,NA,NA,NA,"LA38951","La Ceja Blanca",36.512598,-108.323153,NA,"Near Hearth, Probable sample error: burned juniper may be of natural rather than cultural","RADIOMETRIC",NA,"Marshall 1985","Plateau",70,70,"La Ceja Blanca"
"18",39333,"New Mexico","UGa-3796","CHARCOAL",NA,"ARCHAEOLOGICAL","San Juan",125,80,NA,NA,NA,"LA?","H-27-8",36.512598,-108.323153,NA,"Feature 4","RADIOMETRIC","dates published as AD","Vogler et al. 1993","Plateau",125,80,"H-27-8"
"19",39334,"New Mexico","Beta-69198","CHARCOAL",NA,"ARCHAEOLOGICAL","San Juan",140,50,NA,NA,NA,"LA71783",NA,36.512598,-108.323153,NA,"Refuse? from  NS-1.",NA,NA,"HOVEZAK AND SESLER 2002","Plateau",140,50,"LA71783"
"20",39335,"New Mexico","UGa-3088","CHARCOAL",NA,"ARCHAEOLOGICAL","San Juan",150,75,NA,NA,NA,"LA?","H-28-122",36.512598,-108.323153,NA,"Feature 1","RADIOMETRIC","dates published as AD","Vogler et al. 1993","Plateau",150,75,"H-28-122"
"21",39336,"New Mexico","UGa-3094","CHARCOAL",NA,"ARCHAEOLOGICAL","San Juan",165,55,NA,NA,NA,"LA17584","H-25-169",36.512598,-108.323153,NA,"Feature 7","RADIOMETRIC","dates published as AD","Vogler, L.E., K. Langenfeld and D. Gilipin  (1993)     DA'A' A'K'EH NITSAA: An Overview of the Cultural Resources of the  Navajo Indian Irrigation Project, North-Western New Mexico.  Navajo  Nation Papers in Anthropology Number 29. Navajo Nation Cultural  Resources Management Program, Window Rock.","Plateau",165,55,"H-25-169"
"22",39337,"New Mexico","DIC-2625","CHARCOAL",NA,"ARCHAEOLOGICAL","San Juan",170,50,NA,NA,NA,"LA38944","Los Sotanos",36.512598,-108.323153,NA,"Feature 4, hearth, Possible sample error: hearth contained only Rosa-Piedra ceramics","RADIOMETRIC",NA,"Marshall 1985","Plateau",170,50,"Los Sotanos"
"23",39338,"New Mexico","Beta-59218","SEEDS","Zea mays, charred","ARCHAEOLOGICAL","San Juan",170,50,NA,NA,NA,"LA72771",NA,36.512598,-108.323153,NA,"Maize from  Str-1.",NA,NA,"Hovezak and Sesler 2002","Plateau",170,50,"LA72771"
"24",39339,"New Mexico","UGa-3095","CHARCOAL",NA,"ARCHAEOLOGICAL","San Juan",175,70,NA,NA,NA,"LA?","H-25-169",36.512598,-108.323153,NA,"Feature 7","RADIOMETRIC","dates published as AD","Vogler et al. 1993","Plateau",175,70,"H-25-169"
"25",39340,"New Mexico","UGa-3085","CHARCOAL",NA,"ARCHAEOLOGICAL","San Juan",185,50,NA,NA,NA,"LA?","H-28-122",36.512598,-108.323153,NA,"Feature 3","RADIOMETRIC","dates published as AD","Vogler et al. 1993","Plateau",185,50,"H-28-122"
"26",39341,"New Mexico","Beta-59209","CHARCOAL",NA,"ARCHAEOLOGICAL","San Juan",190,60,NA,NA,NA,"LA72747",NA,36.512598,-108.323153,NA,"Structural timber outer rings from  3.",NA,NA,"HOVEZAK AND SESLER 2002","Plateau",190,60,"LA72747"
"27",39342,"New Mexico","Beta-59246","SEEDS","Zea mays, charred","ARCHAEOLOGICAL","San Juan",200,80,NA,NA,NA,"LA73582",NA,36.512598,-108.323153,NA,"Maize from  Str-1 F-18.",NA,NA,"HOVEZAK AND SESLER 2002","Plateau",200,80,"LA73582"
"28",39343,"New Mexico","DIC-2630","CHARCOAL",NA,"ARCHAEOLOGICAL","San Juan",210,55,NA,NA,NA,"LA38951","La Ceja Blanca",36.512598,-108.323153,NA,"Hearth 7, Gobernador phase","RADIOMETRIC",NA,"Marshall 1985","Plateau",210,55,"La Ceja Blanca"
"29",39344,"New Mexico","UGa-3622","CHARCOAL",NA,"ARCHAEOLOGICAL","San Juan",225,90,NA,NA,NA,"LA17337",NA,36.512598,-108.323153,NA,"hearth, feature 7","RADIOMETRIC",NA,"Simmons, Alan H. (1982) Prehistoric Adaptive Strategies in the Chaco Canyon Region, Northwestern New Mexico. Navajo Nation Papers in Anthropology No. 9. Window Rock, Arizona: Navajo Nation Cultural Resource Management Program.","Plateau",225,90,"LA17337"
"30",39345,"New Mexico","Beta-42798?","CHARCOAL",NA,"ARCHAEOLOGICAL","San Juan",230,90,NA,NA,NA,"LA82287",NA,36.512598,-108.323153,NA,NA,NA,"lab number used in PA also","Honeycutt and Fetterman 1994:21-1","Plateau",230,90,"LA82287"
"31",39346,"New Mexico","Beta-59276","CHARCOAL",NA,"ARCHAEOLOGICAL","San Juan",240,50,NA,NA,NA,"LA79462",NA,36.512598,-108.323153,NA,"Fuelwood from  Str-1 F-4.",NA,NA,"Hovezak and Sesler 2002","Plateau",240,50,"LA79462"
"32",39347,"New Mexico","DIC-2857","CHARCOAL",NA,"ARCHAEOLOGICAL","San Juan",250,50,NA,NA,NA,"LA38951","La Ceja Blanca",36.512598,-108.323153,NA,"Provenience A, sweat lodge, Gobernador phase","RADIOMETRIC",NA,"Marshall 1985","Plateau",250,50,"La Ceja Blanca"
"33",39348,"New Mexico","Beta-49574","CHARCOAL",NA,"ARCHAEOLOGICAL","San Juan",250,60,NA,NA,NA,"LA81169",NA,36.512598,-108.323153,NA,NA,NA,NA,"Honeycutt and Fetterman 1994:17-6, 17-8","Plateau",250,60,"LA81169"
"34",39349,"New Mexico","UGa-2583","CHARCOAL",NA,"ARCHAEOLOGICAL","San Juan",260,80,NA,NA,NA,"LA?","H-28-156",36.512598,-108.323153,NA,"Feature 3","RADIOMETRIC","dates published as AD","Vogler et al. 1993","Plateau",260,80,"H-28-156"
"35",39350,"New Mexico","Beta-59235","CHARCOAL",NA,"ARCHAEOLOGICAL","San Juan",260,60,NA,NA,NA,"LA72787",NA,36.512598,-108.323153,NA,"Structural collapse single specimen from  4.",NA,NA,"Hovezak and Sesler 2002","Plateau",260,60,"LA72787"
"36",39351,"New Mexico","Beta-59216","CHARCOAL",NA,"ARCHAEOLOGICAL","San Juan",270,50,NA,NA,NA,"LA72771",NA,36.512598,-108.323153,NA,"Structural timber from  1.",NA,NA,"HOVEZAK AND SESLER 2002","Plateau",270,50,"LA72771"
"37",39352,"New Mexico","UGa-3097","CHARCOAL",NA,"ARCHAEOLOGICAL","San Juan",275,50,NA,NA,NA,"LA?","H-25-169",36.512598,-108.323153,NA,"Feature 7","RADIOMETRIC","dates published as AD","Vogler et al. 1993","Plateau",275,50,"H-25-169"
"38",39353,"New Mexico","DIC-2698","CHARCOAL",NA,"ARCHAEOLOGICAL","San Juan",280,50,NA,NA,NA,"LA44532","Nageezi Divide",36.512598,-108.323153,NA,"Feature, Gobernador phase Navajo (reuse?)","RADIOMETRIC",NA,"Marshall 1985","Plateau",280,50,"Nageezi Divide"
"39",39354,"New Mexico","Beta-59267","SEEDS","Zea mays, charred","ARCHAEOLOGICAL","San Juan",280,50,NA,NA,NA,"LA73589",NA,36.512598,-108.323153,NA,"Maize from  Str-2 F-12.",NA,NA,"Hovezak and Sesler 2002","Plateau",280,50,"LA73589"
"40",39355,"New Mexico","DIC-2637","CHARCOAL",NA,"ARCHAEOLOGICAL","San Juan",300,70,NA,NA,NA,"LA38949","Rincon Alemita",36.512598,-108.323153,NA,"South component, associated with sherd cluster, Probable Gobernador phase","RADIOMETRIC",NA,"Marshall 1985","Plateau",300,70,"Rincon Alemita"
"41",39356,"New Mexico","Beta-59281","CHARCOAL",NA,"ARCHAEOLOGICAL","San Juan",310,50,NA,NA,NA,"LA81656",NA,36.512598,-108.323153,NA,"Fuelwood from  NS-1 F-1.",NA,NA,"HOVEZAK AND SESLER 2002","Plateau",310,50,"LA81656"
"42",39357,"New Mexico","Beta-50228","CHARCOAL",NA,"ARCHAEOLOGICAL","San Juan",320,50,NA,NA,NA,"LA79280",NA,36.512598,-108.323153,NA,"Hearth fuelwood from  Str-2 F-4.",NA,NA,"Hovezak and Sesler 2002","Plateau",320,50,"LA79280"
"43",39358,"New Mexico","Beta-59208","CHARCOAL",NA,"ARCHAEOLOGICAL","San Juan",320,80,NA,NA,NA,"LA72747",NA,36.512598,-108.323153,NA,"Structural timber juniper bark from  2.",NA,NA,"HOVEZAK AND SESLER 2002","Plateau",320,80,"LA72747"
"44",39359,"New Mexico","Beta-50854","SEEDS","juniperus","ARCHAEOLOGICAL","San Juan",330,80,NA,NA,NA,"LA80318",NA,36.512598,-108.323153,NA,NA,NA,NA,"Honeycutt and Fetterman 1994:10-3, 10-9","Plateau",330,80,"LA80318"
"45",39360,"New Mexico","DIC-2855","CHARCOAL",NA,"ARCHAEOLOGICAL","San Juan",350,55,NA,NA,NA,"LA38951","La Ceja Blanca",36.512598,-108.323153,NA,"Provenience D, shelter, Dinetah phase","RADIOMETRIC",NA,"Marshall 1985","Plateau",350,55,"La Ceja Blanca"
"46",39361,"New Mexico","DIC-2856","CHARCOAL","roof beam","ARCHAEOLOGICAL","San Juan",360,55,NA,NA,NA,"LA38951","La Ceja Blanca",36.512598,-108.323153,NA,"Provenience B, shelter, Dinetah phase","RADIOMETRIC",NA,"Marshall 1985","Plateau",360,55,"La Ceja Blanca"
"47",39362,"New Mexico","Beta-49532","CHARCOAL",NA,"ARCHAEOLOGICAL","San Juan",360,50,NA,NA,NA,"LA80910",NA,36.512598,-108.323153,NA,NA,NA,NA,"Honeycutt and Fetterman 1994:14-5, 14-12","Plateau",360,50,"LA80910"
"48",39363,"New Mexico","Beta-59217","CHARCOAL",NA,"ARCHAEOLOGICAL","San Juan",360,50,NA,NA,NA,"LA72771",NA,36.512598,-108.323153,NA,"Structural timber from  1.",NA,NA,"Hovezak and Sesler 2002","Plateau",360,50,"LA72771"
"49",39364,"New Mexico","Beta-59252","CHARCOAL",NA,"ARCHAEOLOGICAL","San Juan",360,60,NA,NA,NA,"LA73582",NA,36.512598,-108.323153,NA,"Structural timber from  5.",NA,NA,"Hovezak and Sesler 2002","Plateau",360,60,"LA73582"
"50",39365,"New Mexico","Beta-49575","CHARCOAL",NA,"ARCHAEOLOGICAL","San Juan",380,60,NA,NA,NA,"LA81169",NA,36.512598,-108.323153,NA,NA,NA,NA,"Honeycutt and Fetterman 1994:17-6, 17-8","Plateau",380,60,"LA81169"
"51",39366,"New Mexico","Beta-58140","CHARCOAL",NA,"ARCHAEOLOGICAL","San Juan",380,60,NA,NA,NA,"LA18332",NA,36.512598,-108.323153,NA,NA,NA,NA,"DeMar and Wilcox 1995:75-76, Table 76, App. G","Plateau",380,60,"LA18332"
"52",39367,"New Mexico","Beta-59240","CHARCOAL",NA,"ARCHAEOLOGICAL","San Juan",380,50,NA,NA,NA,"LA73524",NA,36.512598,-108.323153,NA,"Fuelwood from  NS-1 F-1.",NA,NA,"Hovezak and Sesler 2002","Plateau",380,50,"LA73524"
"53",39368,"New Mexico","UGa-3096","CHARCOAL",NA,"ARCHAEOLOGICAL","San Juan",385,55,NA,NA,NA,"LA?","H-25-169",36.512598,-108.323153,NA,"Feature 8","RADIOMETRIC","dates published as AD","Vogler et al. 1993","Plateau",385,55,"H-25-169"
"54",39369,"New Mexico","Beta-59233","CHARCOAL",NA,"ARCHAEOLOGICAL","San Juan",390,50,NA,NA,NA,"LA72787",NA,36.512598,-108.323153,NA,"Fuelwood from  NS-6 F-15.",NA,NA,"Hovezak and Sesler 2002","Plateau",390,50,"LA72787"
"55",39370,"New Mexico","DIC-2629","CHARCOAL","post","ARCHAEOLOGICAL","San Juan",400,55,NA,NA,NA,"LA38946","El Campo Navahu",36.512598,-108.323153,NA,"Domicile area, Post C, Dinetah phase","RADIOMETRIC",NA,"Marshall 1985","Plateau",400,55,"El Campo Navahu"
"56",39371,"New Mexico","UGa-3087","CHARCOAL",NA,"ARCHAEOLOGICAL","San Juan",400,75,NA,NA,NA,"LA?","H-28-122",36.512598,-108.323153,NA,"Feature 5","RADIOMETRIC","dates published as AD","Vogler et al. 1993","Plateau",400,75,"H-28-122"
"57",39372,"New Mexico","Beta-50225","CHARCOAL",NA,"ARCHAEOLOGICAL","San Juan",400,50,NA,NA,NA,"LA79280",NA,36.512598,-108.323153,NA,"Hearth fuelwood from  SU-16 F-30.",NA,NA,"HOVEZAK AND SESLER 2002","Plateau",400,50,"LA79280"
"58",39373,"New Mexico","Beta-59232","CHARCOAL",NA,"ARCHAEOLOGICAL","San Juan",400,60,NA,NA,NA,"LA72787",NA,36.512598,-108.323153,NA,"Structural collapse scattered charcoal from  2.",NA,NA,"Hovezak and Sesler 2002","Plateau",400,60,"LA72787"
"59",39374,"New Mexico","Beta-59241","CHARCOAL",NA,"ARCHAEOLOGICAL","San Juan",420,70,NA,NA,NA,"LA73530",NA,36.512598,-108.323153,NA,"Fuelwood from  NS-1 F-1.",NA,NA,"HOVEZAK AND SESLER 2002","Plateau",420,70,"LA73530"
"60",39375,"New Mexico","Beta-59275","CHARCOAL",NA,"ARCHAEOLOGICAL","San Juan",420,50,NA,NA,NA,"LA79462",NA,36.512598,-108.323153,NA,"Structural timber from  3.",NA,NA,"HOVEZAK AND SESLER 2002","Plateau",420,50,"LA79462"
"61",39376,"New Mexico","Beta-49533","CHARCOAL",NA,"ARCHAEOLOGICAL","San Juan",430,60,NA,NA,NA,"LA80910",NA,36.512598,-108.323153,NA,NA,NA,NA,"Honeycutt and Fetterman 1994:14-4, 14-12","Plateau",430,60,"LA80910"
"62",39377,"New Mexico","Beta-50229","CHARCOAL",NA,"ARCHAEOLOGICAL","San Juan",440,50,NA,NA,NA,"LA79280",NA,36.512598,-108.323153,NA,"Refuse from  SU-21 F-3.",NA,NA,"Hovezak and Sesler 2002","Plateau",440,50,"LA79280"
"63",39378,"New Mexico","Beta-69211","CHARCOAL",NA,"ARCHAEOLOGICAL","San Juan",440,50,NA,NA,NA,"LA72744",NA,36.512598,-108.323153,NA,"Fuelwood from  NS-3 F-7.",NA,NA,"Hovezak and Sesler 2002","Plateau",440,50,"LA72744"
"64",39379,"New Mexico","Beta-58141","CHARCOAL",NA,"ARCHAEOLOGICAL","San Juan",450,60,NA,NA,NA,"LA18332",NA,36.512598,-108.323153,NA,NA,NA,NA,"DeMar and Wilcox 1995:75-76, Table 76, App. G","Plateau",450,60,"LA18332"
"65",39380,"New Mexico","Beta-59280","CHARCOAL",NA,"ARCHAEOLOGICAL","San Juan",450,60,NA,NA,NA,"LA79525",NA,36.512598,-108.323153,NA,"Postabandonment scattered charcoal from  NS-2 F-9.",NA,NA,"Hovezak and Sesler 2002","Plateau",450,60,"LA79525"
"66",39381,"New Mexico","Beta-69214","CHARCOAL",NA,"ARCHAEOLOGICAL","San Juan",470,70,NA,NA,NA,"LA72746",NA,36.512598,-108.323153,NA,"Fuelwood? from  NS-4 F-3.",NA,NA,"Hovezak and Sesler 2002","Plateau",470,70,"LA72746"
"67",39382,"New Mexico","UGa-2580","CHARCOAL",NA,"ARCHAEOLOGICAL","San Juan",475,75,NA,NA,NA,"LA?","H-28-156",36.512598,-108.323153,NA,"Feature 1","RADIOMETRIC","dates published as AD","Vogler et al. 1993","Plateau",475,75,"H-28-156"
"68",39383,"New Mexico","Beta-49537","CHARCOAL",NA,"ARCHAEOLOGICAL","San Juan",500,80,NA,NA,NA,"LA80911",NA,36.512598,-108.323153,NA,NA,NA,NA,"Honeycutt and Fetterman 1994:15-4, 15-6","Plateau",500,80,"LA80911"
"69",39384,"New Mexico","Beta-49534","CHARCOAL",NA,"ARCHAEOLOGICAL","San Juan",510,90,NA,NA,NA,"LA80910",NA,36.512598,-108.323153,NA,NA,NA,NA,"Honeycutt and Fetterman 1994:14-4, 14-12","Plateau",510,90,"LA80910"
"70",39385,"New Mexico","Beta-69212","CHARCOAL",NA,"ARCHAEOLOGICAL","San Juan",510,50,NA,NA,NA,"LA72744",NA,36.512598,-108.323153,NA,"Cist cover? from  NS-3 F-8.",NA,NA,"Hovezak and Sesler 2002","Plateau",510,50,"LA72744"
"71",39386,"New Mexico","Beta-42780","CHARCOAL",NA,"ARCHAEOLOGICAL","San Juan",520,90,NA,NA,NA,"LA80318",NA,36.512598,-108.323153,NA,NA,NA,NA,"Honeycutt and Fetterman 1994:10-5, 10-9","Plateau",520,90,"LA80318"
"72",39387,"New Mexico","Beta-59239","CHARCOAL",NA,"ARCHAEOLOGICAL","San Juan",520,50,NA,NA,NA,"LA73524",NA,36.512598,-108.323153,NA,"Fuelwood from  NS-1 F-1.",NA,NA,"HOVEZAK AND SESLER 2002","Plateau",520,50,"LA73524"
"73",39388,"New Mexico","Beta-59265","CHARCOAL",NA,"ARCHAEOLOGICAL","San Juan",520,50,NA,NA,NA,"LA73589",NA,36.512598,-108.323153,NA,"Structural timber from  1.",NA,NA,"Hovezak and Sesler 2002","Plateau",520,50,"LA73589"
"74",39389,"New Mexico","Beta-59215","CHARCOAL",NA,"ARCHAEOLOGICAL","San Juan",530,60,NA,NA,NA,"LA72766",NA,36.512598,-108.323153,NA,"Fuelwood from  Str-1.",NA,NA,"Hovezak and Sesler 2002","Plateau",530,60,"LA72766"
"75",39390,"New Mexico","Beta-69206","CHARCOAL",NA,"ARCHAEOLOGICAL","San Juan",530,50,NA,NA,NA,"LA72743",NA,36.512598,-108.323153,NA,"Fuelwood from  NS-2 F-5.",NA,NA,"HOVEZAK AND SESLER 2002","Plateau",530,50,"LA72743"
"76",39391,"New Mexico","DIC-2627","CHARCOAL","post","ARCHAEOLOGICAL","San Juan",540,85,NA,NA,NA,"LA38945","Los Jacales",36.512598,-108.323153,NA,"Feature 1, post in, Possible sample error: ""post"" may be burned tree root rather than part of Structure","RADIOMETRIC",NA,"Marshall 1985","Plateau",540,85,"Los Jacales"
"77",39392,"New Mexico","Beta-59278","CHARCOAL",NA,"ARCHAEOLOGICAL","San Juan",540,60,NA,NA,NA,"LA79525",NA,36.512598,-108.323153,NA,"Fuelwood from  NS-4 F-5.",NA,NA,"HOVEZAK AND SESLER 2002","Plateau",540,60,"LA79525"
"78",39393,"New Mexico","Beta-50227","CHARCOAL",NA,"ARCHAEOLOGICAL","San Juan",580,60,NA,NA,NA,"LA79280",NA,36.512598,-108.323153,NA,"Hearth fuelwood from  SU-19 F-2.",NA,NA,"Hovezak and Sesler 2002","Plateau",580,60,"LA79280"
"79",39394,"New Mexico","Beta-49539","CHARCOAL",NA,"ARCHAEOLOGICAL","San Juan",590,70,NA,NA,NA,"LA80911",NA,36.512598,-108.323153,NA,NA,NA,NA,"Honeycutt and Fetterman 1994:15-3, 15-6","Plateau",590,70,"LA80911"
"80",39395,"New Mexico","Beta-59230","OTHER",NA,"ARCHAEOLOGICAL","San Juan",590,50,NA,NA,NA,"LA72783",NA,36.512598,-108.323153,NA,"Maize and wood charcoal from  Nonstr-5.",NA,NA,"Hovezak and Sesler 2002","Plateau",590,50,"LA72783"
"81",39396,"New Mexico","Beta-49535","CHARCOAL",NA,"ARCHAEOLOGICAL","San Juan",600,60,NA,NA,NA,"LA80910",NA,36.512598,-108.323153,NA,NA,NA,NA,"Honeycutt and Fetterman 1994:14-3, 14-12","Plateau",600,60,"LA80910"
"82",39397,"New Mexico","Beta-49536","CHARCOAL",NA,"ARCHAEOLOGICAL","San Juan",620,60,NA,NA,NA,"LA80910",NA,36.512598,-108.323153,NA,NA,NA,NA,"Honeycutt and Fetterman 1994:14-4, 14-12","Plateau",620,60,"LA80910"
"83",39398,"New Mexico","Beta-59249","CHARCOAL",NA,"ARCHAEOLOGICAL","San Juan",620,50,NA,NA,NA,"LA73582",NA,36.512598,-108.323153,NA,"Structural? timber unburned wood from  3.",NA,NA,"Hovezak and Sesler 2002","Plateau",620,50,"LA73582"
"84",39399,"New Mexico","Beta-59284","CHARCOAL",NA,"ARCHAEOLOGICAL","San Juan",620,50,NA,NA,NA,"LA82984",NA,36.512598,-108.323153,NA,"Structural timber from  1.",NA,NA,"Hovezak and Sesler 2002","Plateau",620,50,"LA82984"
"85",39400,"New Mexico","Beta-69215","CHARCOAL",NA,"ARCHAEOLOGICAL","San Juan",630,60,NA,NA,NA,"LA72746",NA,36.512598,-108.323153,NA,"Structural collapse scattered charcoal from  6.",NA,NA,"Hovezak and Sesler 2002","Plateau",630,60,"LA72746"
"86",39401,"New Mexico","Beta-69213","CHARCOAL",NA,"ARCHAEOLOGICAL","San Juan",640,50,NA,NA,NA,"LA72746",NA,36.512598,-108.323153,NA,"Structural collapse scattered charcoal from  3.",NA,NA,"HOVEZAK AND SESLER 2002","Plateau",640,50,"LA72746"
"87",39402,"New Mexico","Beta-43648","CHARCOAL",NA,"ARCHAEOLOGICAL","San Juan",650,60,NA,NA,NA,"LA72787",NA,36.512598,-108.323153,NA,"Structural collapse scattered charcoal from  1.",NA,NA,"HOVEZAK AND SESLER 2002","Plateau",650,60,"LA72787"
"88",39403,"New Mexico","Beta-14259","CHARCOAL","various seeds","ARCHAEOLOGICAL","San Juan",659,60,NA,NA,NA,"LA50337",NA,36.512598,-108.323153,NA,"room 13, pit filled with ash/charcoal, statum 121",NA,NA,"Vierra 1986","Plateau",659,60,"LA50337"
"89",39404,"New Mexico","Beta-59194","CHARCOAL",NA,"ARCHAEOLOGICAL","San Juan",670,60,NA,NA,NA,"LA16209",NA,36.512598,-108.323153,NA,"Refuse from  Str-1.",NA,NA,"Hovezak and Sesler 2002","Plateau",670,60,"LA16209"
"90",39405,"New Mexico","Beta-59282","CHARCOAL",NA,"ARCHAEOLOGICAL","San Juan",670,50,NA,NA,NA,"LA81656",NA,36.512598,-108.323153,NA,"Fuelwood from  NS-2 F-2.",NA,NA,"Hovezak and Sesler 2002","Plateau",670,50,"LA81656"
"91",39406,"New Mexico","Beta-59236","CHARCOAL",NA,"ARCHAEOLOGICAL","San Juan",680,60,NA,NA,NA,"LA72787",NA,36.512598,-108.323153,NA,"Secondary scattered charcoal from  Str-5.",NA,NA,"Hovezak and Sesler 2002","Plateau",680,60,"LA72787"
"92",39407,"New Mexico","UGa-3099","CHARCOAL",NA,"ARCHAEOLOGICAL","San Juan",690,60,NA,NA,NA,"LA?","H-25-169",36.512598,-108.323153,NA,"Feature 12","RADIOMETRIC","dates published as AD","Vogler et al. 1993","Plateau",690,60,"H-25-169"
"93",39408,"New Mexico","Beta-59245","CHARCOAL",NA,"ARCHAEOLOGICAL","San Juan",690,50,NA,NA,NA,"LA73530",NA,36.512598,-108.323153,NA,"Structural collapse scattered charcoal from  2.",NA,NA,"Hovezak and Sesler 2002","Plateau",690,50,"LA73530"
