,State,ID,Material,Taxa,Type,County,Measured,Mea_SE,Norm,Norm_SE,X13C,SiteID,SiteName,Lat,Long,Strat,Context,AMS_Radio,Comment,Reference,Region,Date,Error,Site_Name
31042,California,CAMS-76423,SHELL,"freshwater, Anodonta",GEOLOGICAL,San Bernardino,NA,NA,480,40,NA,CA-SBR-?,Silver Lake,34.828251,-116.191349,NA,NA,AMS,NA,"Owens, et al. 2007",Basin,480,40,Silver Lake
31043,California,CAMS-76425,SHELL,"freshwater, Anodonta",GEOLOGICAL,San Bernardino,NA,NA,480,40,NA,CA-SBR-?,Silver Lake,34.828251,-116.191349,NA,NA,AMS,NA,"Owens, et al. 2007",Basin,480,40,Silver Lake
31044,California,Beta-404179,CHARCOAL,NA,ARCHAEOLOGICAL,San Bernardino,NA,NA,510,30,NA,CA-SBR-9687,NA,34.828251,-116.191349,NA,"Control Unit 1, Flot. 1, Feature 5",AMS,NA,NA,Basin,510,30,CA-SBR-9687
31045,California,Beta-163579,CHARCOAL,NA,ARCHAEOLOGICAL,San Bernardino,NA,NA,510,50,NA,CA-SBR-1197,NA,34.828251,-116.191349,NA,50-70 cm of sterile windblown sand removed,NA,NA,NA,Basin,510,50,CA-SBR-1197
31046,California,Beta-205768,FECES,"Neotoma, packrat midden",PALEONTOLOGICAL,San Bernardino,NA,NA,510,60,NA,CA-SBR-?,NA,34.828251,-116.191349,NA,S Avawwatz Mountain,NA,NA,"Byrd, et al. 2009",Basin,510,60,CA-SBR-?
31047,California,CAMS-76424,SHELL,"freshwater, Anodonta",GEOLOGICAL,San Bernardino,NA,NA,520,50,NA,CA-SBR-?,Silver Lake,34.828251,-116.191349,NA,NA,AMS,NA,"Owens, et al. 2007",Basin,520,50,Silver Lake
31048,California,Beta-404177,CHARCOAL,NA,ARCHAEOLOGICAL,San Bernardino,NA,NA,530,30,NA,CA-SBR-17208,NA,34.828251,-116.191349,NA,"Control Unit 1, Flot. 1",AMS,NA,NA,Basin,530,30,CA-SBR-17208
31049,California,Beta-211386,SHELL,"marine, Haliotis",GEOLOGICAL,San Bernardino,NA,NA,560,60,NA,CA-SBR-?,"Searles, Salt Wells Valley",34.828251,-116.191349,NA,"RLK # AMP-03, ""in Salt Wells Valley west of road between CLP and ammunition storage areas, near high-water overflow between lakes""",NA,NA,"Kaldenberg, 2006; Rogers, 2009",Basin,560,60,"Searles, Salt Wells Valley"
31050,California,Beta-416506,CHARCOAL,NA,ARCHAEOLOGICAL,San Bernardino,NA,NA,570,30,-21.6,CA-SBR-11755,NA,34.828251,-116.191349,NA,CU 1,AMS,NA,NA,Basin,570,30,CA-SBR-11755
31051,California,Beta-404175,CHARCOAL,NA,ARCHAEOLOGICAL,San Bernardino,NA,NA,570,30,NA,CA-SBR-3624,NA,34.828251,-116.191349,NA,Control Unit 1,AMS,NA,NA,Basin,570,30,CA-SBR-3624
31052,California,Beta-404180,CHARCOAL,NA,ARCHAEOLOGICAL,San Bernardino,NA,NA,580,30,NA,CA-SBR-9687,NA,34.828251,-116.191349,NA,"Surface Scrape 2, Flot. 4, Feature 14",AMS,NA,NA,Basin,580,30,CA-SBR-9687
31054,California,Beta-175068,CHARCOAL,NA,ARCHAEOLOGICAL,San Bernardino,NA,NA,600,60,NA,CA-SBR-1197,NA,34.828251,-116.191349,NA,50-70 cm of sterile windblown sand removed,NA,NA,NA,Basin,600,60,CA-SBR-1197
31056,California,Beta-194688,CHARCOAL,NA,ARCHAEOLOGICAL,San Bernardino,NA,NA,680,40,NA,CA-SBR-2609,Ridge,34.828251,-116.191349,NA,Feature,NA,NA,Allen 2013-Living on the Edge,Basin,680,40,Ridge
31058,California,Beta-41038,CHARCOAL,NA,ARCHAEOLOGICAL,San Bernardino,NA,NA,740,80,-25,CA-SBR-113,NA,34.828251,-116.191349,NA,4: possible hearth feature,RADIOMETRIC,NA,"Milburn et al. 2009, Spatial and Temporal Distributions…",Basin,740,80,CA-SBR-113
31059,California,Beta-205763,FECES,"Neotoma, packrat midden",PALEONTOLOGICAL,San Bernardino,NA,NA,760,70,NA,CA-SBR-?,NA,34.828251,-116.191349,NA,S Avawwatz Mountain,NA,NA,"Byrd, et al. 2009",Basin,760,70,CA-SBR-?
31060,California,Beta-379474,CHARCOAL,NA,ARCHAEOLOGICAL,San Bernardino,NA,NA,820,30,-23.5,CA-SBR-17040,NA,34.828251,-116.191349,NA,hearth,AMS,NA,Potter et al 2014-Phase II Testing and Evaluation of Cultural Resources in the Phase 1 Area of Tapestry Project,Basin,820,30,CA-SBR-17040
31061,California,Beta-416807,CHARCOAL,NA,ARCHAEOLOGICAL,San Bernardino,NA,NA,820,30,-22.4,CA-SBR-11753,NA,34.828251,-116.191349,NA,"CU 1, Conc. 1",AMS,NA,NA,Basin,820,30,CA-SBR-11753
31062,California,?,BONE,NA,ARCHAEOLOGICAL,San Bernardino,NA,NA,890,60,NA,CA-SBR-467,NA,34.828251,-116.191349,60-70 cm,Unit 14,NA,NA,McCarthy 2013-An early ceramic pipe from San Bernardino Mountains,Basin,890,60,CA-SBR-467
31063,California,Beta-168668,CHARCOAL,NA,ARCHAEOLOGICAL,San Bernardino,NA,NA,930,40,NA,CA-SBR-211,NA,34.828251,-116.191349,35 cmbs,Feature 1,NA,NA,Allen 2013-Living on the Edge,Basin,930,40,CA-SBR-211
31064,California,A-3941,FECES,"Neotoma, packrat midden",PALEONTOLOGICAL,San Bernadino,NA,NA,940,70,NA,NA,Whipple Mts,34.828251,-116.191349,NA,Packrat midden,RADIOMETRIC,NA,"Van Devender, Toolin and Burgess 1990",Basin,940,70,Whipple Mts
31065,California,Beta-8543,CHARCOAL,NA,ARCHAEOLOGICAL,San Bernardino,NA,NA,1050,60,-25,CA-SBR-713,Ridge,34.828251,-116.191349,NA,Fire pit,RADIOMETRIC,NA,"Milburn et al. 2009, Spatial and Temporal Distributions…",Basin,1050,60,Ridge
31066,California,Beta-175069,CHARCOAL,NA,ARCHAEOLOGICAL,San Bernardino,NA,NA,1050,50,NA,CA-SBR-1197,NA,34.828251,-116.191349,NA,50-70 cm of sterile windblown sand removed,NA,NA,NA,Basin,1050,50,CA-SBR-1197
31067,California,PRI-12-10-RCT1-1,CHARCOAL,Larrea tridentata,GEOLOGICAL,San Bernardino,NA,NA,1095,20,NA,NA,Echo Playa Trench Site,34.828251,-116.191349,75 cm,West Wall Unit 110,AMS,NA,Puseman 2012-PRI Technical Report 12-010,Basin,1095,20,Echo Playa Trench Site
31068,California,Beta-205761,FECES,"Neotoma, packrat midden",PALEONTOLOGICAL,San Bernardino,NA,NA,1180,70,NA,CA-SBR-?,NA,34.828251,-116.191349,NA,S Avawwatz Mountain,NA,NA,"Byrd, et al. 2009",Basin,1180,70,CA-SBR-?
31069,California,Beta-205762,FECES,"Neotoma, packrat midden",PALEONTOLOGICAL,San Bernardino,NA,NA,1200,50,NA,CA-SBR-?,NA,34.828251,-116.191349,NA,S Avawwatz Mountain,NA,NA,"Byrd, et al. 2009",Basin,1200,50,CA-SBR-?
31070,California,Beta-404178,SEDIMENT,NA,ARCHAEOLOGICAL,San Bernardino,NA,NA,1220,30,NA,CA-SBR-9687,NA,34.828251,-116.191349,NA,"Control Unit 1, Sed. Sample 2, Featuer 13",AMS,NA,NA,Basin,1220,30,CA-SBR-9687
31071,California,Beta-226386,CHARCOAL,NA,ARCHAEOLOGICAL,San Bernardino,NA,NA,1430,40,-24.6,CA-SBR-10074,NA,34.828251,-116.191349,NA,Stone-lined Oven,AMS,NA,"Milburn et al. 2009, Spatial and Temporal Distributions…",Basin,1430,40,CA-SBR-10074
31072,California,UCLA-1789A,CHARCOAL,NA,ARCHAEOLOGICAL,San Bernardino,NA,NA,1440,50,-25,CA-SBR-713,Ridge,34.828251,-116.191349,NA,"N4/E4, D: 30-40 cmbs",RADIOMETRIC,NA,"Ericson, J. E. 1977; Milburn et al. 2009, Spatial and Temporal Distributions…",Basin,1440,50,Ridge
31073,California,Beta-230171,CHARCOAL,NA,NA,San Bernardino,NA,NA,1450,40,-20.6,CA-SBR-?,NA,34.828251,-116.191349,NA,29 Palms 3,NA,NA,Scharlotta 2015 (personal comm),Basin,1450,40,CA-SBR-?
31074,California,Beta-163580,CHARCOAL,NA,ARCHAEOLOGICAL,San Bernardino,NA,NA,1470,50,NA,CA-SBR-1197,NA,34.828251,-116.191349,NA,50-70 cm of sterile windblown sand removed,NA,NA,NA,Basin,1470,50,CA-SBR-1197
31075,California,UCIAMS-187585,SHELL,NA,ARCHAEOLOGICAL,San Bernardino,NA,NA,1510,15,1.42,CA-SBR-14,NA,34.828251,-116.191349,NA,NA,AMS,NA,Barbier and Brown 2016; Burns 2019-Evolution of shell bead money in Central California,Basin,1510,15,CA-SBR-14
31076,California,Beta-8544,CHARCOAL,NA,ARCHAEOLOGICAL,San Bernardino,NA,NA,1620,70,-25,CA-SBR-713,Ridge,34.828251,-116.191349,NA,FAR cluster,RADIOMETRIC,NA,"Milburn et al. 2009, Spatial and Temporal Distributions…",Basin,1620,70,Ridge
31077,California,Beta-205766,FECES,"Neotoma, packrat midden",PALEONTOLOGICAL,San Bernardino,NA,NA,1640,70,NA,CA-SBR-?,NA,34.828251,-116.191349,NA,S Avawwatz Mountain,NA,NA,"Byrd, et al. 2009",Basin,1640,70,CA-SBR-?
31078,California,PRI-12-10-RCT1-13,CHARCOAL,"unidentified hardwood, vitrified",GEOLOGICAL,San Bernardino,NA,NA,1700,15,NA,NA,Echo Playa Trench Site,34.828251,-116.191349,110 cm,"East Wall Unit 90, 110 cmbs",AMS,NA,Puseman 2012-PRI Technical Report 12-010,Basin,1700,15,Echo Playa Trench Site
31079,California,Beta-206585,CHARCOAL,NA,ARCHAEOLOGICAL,San Bernardino,NA,NA,1730,40,-21.2,CA-SBR-12196,NA,34.828251,-116.191349,NA,Earthen Pit Oven,AMS,NA,"Milburn et al. 2009, Spatial and Temporal Distributions…",Basin,1730,40,CA-SBR-12196
31080,California,Beta-205769,FECES,"Neotoma, packrat midden",PALEONTOLOGICAL,San Bernardino,NA,NA,1810,50,NA,CA-SBR-?,NA,34.828251,-116.191349,NA,S Avawwatz Mountain,NA,NA,"Byrd, et al. 2009",Basin,1810,50,CA-SBR-?
31081,California,UCR-2206/AA-4028,CHARCOAL,NA,ARCHAEOLOGICAL,San Bernardino,NA,NA,1855,70,NA,CA-SBR-2322,"SBR-2322, or -5728?",34.828251,-116.191349,NA,40-50 cmbs,AMS,NA,"Yohe, R. M. II, M. Q. Sutton 1989",Basin,1855,70,"SBR-2322, or -5728?"
31082,California,Beta-174804,CHARCOAL,NA,ARCHAEOLOGICAL,San Bernardino,NA,NA,1890,40,NA,CA-SBR-1197,NA,34.828251,-116.191349,NA,50-70 cm of sterile windblown sand removed,NA,NA,NA,Basin,1890,40,CA-SBR-1197
31083,California,PRI-12-10-RCT1-21,CHARCOAL,Larrea tridentata,GEOLOGICAL,San Bernardino,NA,NA,1960,15,NA,NA,Echo Playa Trench Site,34.828251,-116.191349,240 cm,West Wall Unit 70,AMS,NA,Puseman 2012-PRI Technical Report 12-010,Basin,1960,15,Echo Playa Trench Site
31084,California,?,CHARCOAL,NA,ARCHAEOLOGICAL,San Bernardino,NA,NA,1970,50,NA,CA-SBR-467,NA,34.828251,-116.191349,20-30 cm,Unit 22,NA,NA,McCarthy 2013-An early ceramic pipe from San Bernardino Mountains,Basin,1970,50,CA-SBR-467
31085,California,Beta-405301,CHARCOAL,NA,ARCHAEOLOGICAL,San Bernardino,NA,NA,1990,30,NA,CA-SBR-9687,NA,34.828251,-116.191349,NA,"Control Unit 1, Sed. Sample 2, Featuer 13",AMS,NA,NA,Basin,1990,30,CA-SBR-9687
31086,California,Beta-226638,CHARCOAL,NA,ARCHAEOLOGICAL,San Bernardino,NA,NA,2010,40,-24,CA-SBR-10078,NA,34.828251,-116.191349,NA,Earthen Pit Oven,AMS,NA,"Milburn et al. 2009, Spatial and Temporal Distributions…",Basin,2010,40,CA-SBR-10078
31088,California,Beta-404181,CHARCOAL,NA,ARCHAEOLOGICAL,San Bernardino,NA,NA,2130,30,NA,CA-SBR-9687,NA,34.828251,-116.191349,NA,"Surface Scrape 2, Flot. 6, Feature 14",AMS,NA,NA,Basin,2130,30,CA-SBR-9687
31089,California,PRI-12-10-RCT1-19,CHARCOAL,Larrea tridentata,GEOLOGICAL,San Bernardino,NA,NA,2225,15,NA,NA,Echo Playa Trench Site,34.828251,-116.191349,260 cm,West Wall Unit 70,AMS,NA,Puseman 2012-PRI Technical Report 12-010,Basin,2225,15,Echo Playa Trench Site
31090,California,Beta-417215,SEDIMENT,NA,GEOLOGICAL,San Bernardino,NA,NA,2230,30,-22.4,CA-SBR-16332,NA,34.828251,-116.191349,NA,"CU 1, Feature 1, Sediment 2",AMS,NA,NA,Basin,2230,30,CA-SBR-16332
31091,California,Beta-8541,CHARCOAL,NA,ARCHAEOLOGICAL,San Bernardino,NA,NA,2280,100,-25,CA-SBR-421,Sayles Site,34.828251,-116.191349,NA,Fire pit,RADIOMETRIC,NA,"Milburn et al. 2009, Spatial and Temporal Distributions…",Basin,2280,100,Sayles Site
31092,California,EZV-200,CHARCOAL,NA,ARCHAEOLOGICAL,San Bernardino,NA,NA,2400,100,NA,CA-SBR-60,NA,34.828251,-116.191349,NA,CU N27/E0; Feature 1; Flot 4,AMS,NA,NA,Basin,2400,100,CA-SBR-60
31093,California,Beta-226384,CHARCOAL,NA,ARCHAEOLOGICAL,San Bernardino,NA,NA,2460,40,-22.9,CA-SBR-67,NA,34.828251,-116.191349,NA,Earthen Pit Oven,AMS,NA,"Milburn et al. 2009, Spatial and Temporal Distributions…",Basin,2460,40,CA-SBR-67
31094,California,CAMS-154747,BONE,Leporid B.,PALEONTOLOGICAL,San Bernardino,NA,NA,2510,35,NA,NA,"Mescal Cave (SBC1.10.12, UCMP V3864)",34.828251,-116.191349,NA,NA,AMS,NA,Stegner 2015-The Mescal Cave Fauna…,Basin,2510,35,"Mescal Cave (SBC1.10.12, UCMP V3864)"
31095,California,CAMS-154754,BONE,Leporid B,PALEONTOLOGICAL,San Bernardino,NA,NA,2540,40,NA,NA,"Mescal Cave (SBC1.10.12, UCMP V3864)",34.828251,-116.191349,NA,NA,AMS,NA,Stegner 2015-The Mescal Cave Fauna…,Basin,2540,40,"Mescal Cave (SBC1.10.12, UCMP V3864)"
31096,California,Beta-416804,CHARCOAL,NA,ARCHAEOLOGICAL,San Bernardino,NA,NA,2990,30,-21.8,CA-SBR-11728,NA,34.828251,-116.191349,NA,"CU 1, SCU 1",AMS,NA,NA,Basin,2990,30,CA-SBR-11728
31097,California,Beta-41039,CHARCOAL,NA,ARCHAEOLOGICAL,San Bernardino,NA,NA,3060,100,-25,CA-SBR-113,NA,34.828251,-116.191349,NA,"l 60 cm, Hearth?",RADIOMETRIC,NA,"Milburn et al. 2009, Spatial and Temporal Distributions…",Basin,3060,100,CA-SBR-113
31098,California,Beta-404176,SEDIMENT,NA,ARCHAEOLOGICAL,San Bernardino,NA,NA,3100,30,NA,CA-SBR-17205,NA,34.828251,-116.191349,NA,"Surface Scrape 1, Sed. Sample 1",AMS,NA,NA,Basin,3100,30,CA-SBR-17205
31099,California,Beta-163581,SEDIMENT,NA,GEOLOGICAL,San Bernardino,NA,NA,3190,40,NA,CA-SBR-1197,NA,34.828251,-116.191349,NA,50-70 cm of sterile windblown sand removed,NA,NA,NA,Basin,3190,40,CA-SBR-1197
31100,California,EZV-201,OTHER,Islay,ARCHAEOLOGICAL,San Bernardino,NA,NA,3250,20,NA,CA-SBR-60,NA,34.828251,-116.191349,NA,CU N27/E0; Flot 20,AMS,NA,NA,Basin,3250,20,CA-SBR-60
31101,California,EZV-202,OTHER,Manzanita and Marah,ARCHAEOLOGICAL,San Bernardino,NA,NA,3260,25,NA,CA-SBR-60,NA,34.828251,-116.191349,NA,CU N27/E0; Flot 22,AMS,NA,NA,Basin,3260,25,CA-SBR-60
31102,California,EZV-203,CHARCOAL,NA,ARCHAEOLOGICAL,San Bernardino,NA,NA,3450,30,NA,CA-SBR-60,NA,34.828251,-116.191349,NA,CU N29/E0 & N31.5/E0; Feature 2; Flot 25,AMS,NA,NA,Basin,3450,30,CA-SBR-60
31103,California,Beta-226383,CHARCOAL,NA,ARCHAEOLOGICAL,San Bernardino,NA,NA,3520,40,-21.6,CA-SBR-12464,NA,34.828251,-116.191349,NA,Earthen Pit Oven,AMS,NA,"Milburn et al. 2009, Spatial and Temporal Distributions…",Basin,3520,40,CA-SBR-12464
31104,California,Beta-226385,CHARCOAL,NA,ARCHAEOLOGICAL,San Bernardino,NA,NA,3570,40,-23.7,CA-SBR-10073,NA,34.828251,-116.191349,NA,Earthen Pit Oven,AMS,NA,"Milburn et al. 2009, Spatial and Temporal Distributions…",Basin,3570,40,CA-SBR-10073
31106,California,Beta-174803,CHARCOAL,NA,ARCHAEOLOGICAL,San Bernardino,NA,NA,3900,60,NA,CA-SBR-1197,NA,34.828251,-116.191349,NA,50-70 cm of sterile windblown sand removed,NA,NA,NA,Basin,3900,60,CA-SBR-1197
31107,California,Beta-416805,CHARCOAL,NA,ARCHAEOLOGICAL,San Bernardino,NA,NA,3970,30,-26.2,CA-SBR-11728,NA,34.828251,-116.191349,NA,"CU 1, SCU 1",AMS,NA,NA,Basin,3970,30,CA-SBR-11728
31108,California,Beta-168080,SEDIMENT,"Carbonate, pedogenic",GEOLOGICAL,San Bernardino,NA,NA,4110,40,NA,CA-SBR-10839,NA,34.828251,-116.191349,NA,nr,NA,NA,"Wells, Helen, 2003",Basin,4110,40,CA-SBR-10839
31109,California,Beta-89704,SEDIMENT,NA,ARCHAEOLOGICAL,San Bernardino,NA,NA,4180,90,NA,CA-SBR-8250,NA,34.828251,-116.191349,NA,Feature 1,NA,NA,"Knell, E. J. 1996",Basin,4180,90,CA-SBR-8250
31110,California,A-3649,FECES,"Neotoma, packrat midden",PALEONTOLOGICAL,San Bernadino,NA,NA,4240,70,NA,NA,Whipple Mts,34.828251,-116.191349,NA,Packrat midden,RADIOMETRIC,NA,"Van Devender, Toolin and Burgess 1990",Basin,4240,70,Whipple Mts
31112,California,Beta-226639,CHARCOAL,NA,ARCHAEOLOGICAL,San Bernardino,NA,NA,4840,40,-21.2,CA-SBR-10075,NA,34.828251,-116.191349,NA,Earthen Pit Oven,AMS,NA,"Milburn et al. 2009, Spatial and Temporal Distributions…",Basin,4840,40,CA-SBR-10075
31113,California,CAMS-160638,BONE,Marmota <U+FB02>aviventris,PALEONTOLOGICAL,San Bernardino,NA,NA,4910,35,NA,NA,"Mescal Cave (SBC1.10.12, UCMP V3864)",34.828251,-116.191349,NA,NA,AMS,NA,Stegner 2015-The Mescal Cave Fauna…,Basin,4910,35,"Mescal Cave (SBC1.10.12, UCMP V3864)"
31114,California,ETH-12879,OTHER,Weathering rind organics,GEOLOGICAL,San Bernardino,NA,NA,4990,70,NA,CA-SBR-?,Cow Cove Petroglyphs,34.828251,-116.191349,"Rock (under varnish, ~15-20 µm thick)","Unit 1, geometric shield figure, Cow Cove, Mojave Desert",AMS,NA,"Whitley et al. 1996, Recent Advances in petroglyph Dating…",Basin,4990,70,Cow Cove Petroglyphs
31116,California,PRI-07-20-5568.2006.01,CHARCOAL,NA,ARCHAEOLOGICAL,San Bernardino,NA,NA,6305,25,-22.4,CA-SBR-5568,NA,34.828251,-116.191349,BM/CP,Burnt Rock Midden,AMS,NA,"Milburn et al. 2009, Spatial and Temporal Distributions…",Basin,6305,25,CA-SBR-5568
31117,California,Beta-183171,CHARCOAL,NA,ARCHAEOLOGICAL,San Bernardino,NA,NA,6410,80,NA,CA-SBR-8959,NA,34.828251,-116.191349,NA,NA,NA,NA,Sutton et al 2007-Advances in Understanding Mojave Desert Prehistory,Basin,6410,80,CA-SBR-8959
31119,California,Beta-136534,CHARCOAL,NA,ARCHAEOLOGICAL,San Bernardino,NA,NA,6760,80,NA,CA-SBR-3632,NA,34.828251,-116.191349,NA,NA,NA,NA,Sutton et al 2007-Advances in Understanding Mojave Desert Prehistory,Basin,6760,80,CA-SBR-3632
31123,California,A-3733,FECES,"Neotoma, packrat midden",PALEONTOLOGICAL,San Bernadino,NA,NA,7500,80,NA,NA,Whipple Mts,34.828251,-116.191349,NA,Packrat midden,RADIOMETRIC,NA,"Van Devender, Toolin and Burgess 1990",Basin,7500,80,Whipple Mts
31124,California,Beta-183170,CHARCOAL,NA,ARCHAEOLOGICAL,San Bernardino,NA,NA,7560,40,NA,CA-SBR-3632,NA,34.828251,-116.191349,NA,NA,NA,NA,Sutton et al 2007-Advances in Understanding Mojave Desert Prehistory,Basin,7560,40,CA-SBR-3632
